datetime,open,high,low,close,tick_vol,spread
2025-01-07 12:30:00,2644.48,2644.75,2643.65,2643.76,1377,23.0
2025-01-07 12:45:00,2643.74,2644.05,2642.77,2643.85,2618,23.0
2025-01-07 13:00:00,2643.87,2646.95,2643.72,2644.88,4550,23.0
2025-01-07 13:15:00,2644.88,2645.53,2641.9,2645.51,4787,23.0
2025-01-07 13:30:00,2645.52,2646.76,2644.61,2646.6,3364,23.0
2025-01-07 13:45:00,2646.55,2648.67,2646.37,2648.31,3890,23.0
2025-01-07 14:00:00,2648.39,2651.41,2647.43,2648.16,5928,23.0
2025-01-07 14:15:00,2648.15,2649.27,2647.34,2648.13,4120,23.0
2025-01-07 14:30:00,2648.12,2651.65,2647.56,2649.56,4067,23.0
2025-01-07 14:45:00,2649.59,2652.72,2648.94,2651.68,5422,23.0
2025-01-07 15:00:00,2651.65,2655.06,2649.91,2654.86,10649,23.0
2025-01-07 15:15:00,2654.85,2661.05,2654.2,2660.25,12471,23.0
2025-01-07 15:30:00,2660.26,2662.03,2657.1,2661.04,13320,23.0
2025-01-07 15:45:00,2661.04,2664.27,2659.77,2662.28,11899,23.0
2025-01-07 16:00:00,2662.29,2662.95,2658.48,2658.48,12850,23.0
2025-01-07 16:15:00,2658.52,2660.72,2655.72,2660.31,9813,23.0
2025-01-07 16:30:00,2660.3,2662.98,2660.1,2661.4,10023,23.0
2025-01-07 16:45:00,2661.44,2661.63,2657.46,2658.61,10457,23.0
2025-01-07 17:00:00,2658.58,2658.58,2641.93,2648.54,21894,23.0
2025-01-07 17:15:00,2648.54,2653.57,2647.71,2651.29,15551,23.0
2025-01-07 17:30:00,2651.27,2652.14,2644.69,2647.49,14120,23.0
2025-01-07 17:45:00,2647.48,2651.08,2645.94,2647.62,14076,23.0
2025-01-07 18:00:00,2647.6,2650.2,2646.41,2648.45,10707,23.0
2025-01-07 18:15:00,2648.46,2653.76,2648.19,2650.7,11013,23.0
2025-01-07 18:30:00,2650.65,2654.85,2648.8,2654.13,13372,23.0
2025-01-07 18:45:00,2654.05,2655.62,2651.15,2651.71,11258,23.0
2025-01-07 19:00:00,2651.69,2653.86,2651.68,2652.81,6262,23.0
2025-01-07 19:15:00,2652.81,2655.52,2651.75,2654.75,7533,23.0
2025-01-07 19:30:00,2654.74,2656.05,2650.9,2651.42,7774,23.0
2025-01-07 19:45:00,2651.41,2652.77,2650.09,2652.4,9443,23.0
2025-01-07 20:00:00,2652.41,2652.58,2649.52,2650.51,6739,23.0
2025-01-07 20:15:00,2650.52,2652.38,2649.88,2650.83,6739,23.0
2025-01-07 20:30:00,2650.77,2650.89,2647.36,2648.12,7622,23.0
2025-01-07 20:45:00,2648.03,2649.35,2647.18,2649.09,8115,23.0
2025-01-07 21:00:00,2649.1,2649.83,2648.44,2649.2,5775,23.0
2025-01-07 21:15:00,2649.23,2649.31,2646.81,2647.56,4767,23.0
2025-01-07 21:30:00,2647.56,2650.06,2647.28,2649.64,4610,23.0
2025-01-07 21:45:00,2649.61,2650.37,2648.84,2649.33,5625,23.0
2025-01-07 22:00:00,2649.32,2649.86,2647.49,2649.09,4113,23.0
2025-01-07 22:15:00,2649.18,2649.37,2647.48,2648.25,3577,23.0
2025-01-07 22:30:00,2648.3,2648.54,2647.18,2647.73,4830,23.0
2025-01-07 22:45:00,2647.72,2651.46,2647.63,2650.47,4817,23.0
2025-01-07 23:00:00,2650.4,2650.48,2649.76,2649.81,920,24.0
2025-01-07 23:15:00,2649.8,2650.13,2649.52,2649.82,858,24.0
2025-01-07 23:30:00,2649.84,2650.2,2649.37,2649.54,483,24.0
2025-01-07 23:45:00,2649.52,2649.88,2647.59,2648.21,740,24.0
2025-01-08 01:00:00,2648.32,2649.42,2648.21,2649.1,760,27.5
2025-01-08 01:15:00,2649.1,2649.89,2648.18,2648.68,747,23.0
2025-01-08 01:30:00,2648.67,2649.71,2648.6,2649.4,653,23.0
2025-01-08 01:45:00,2649.41,2650.22,2648.71,2649.79,1267,23.0
2025-01-08 02:00:00,2649.8,2650.12,2648.64,2649.58,1410,23.0
2025-01-08 02:15:00,2649.61,2651.32,2649.61,2650.84,1006,23.0
2025-01-08 02:30:00,2650.84,2651.55,2650.36,2651.01,1651,23.0
2025-01-08 02:45:00,2651.0,2651.55,2649.9,2650.44,1916,23.0
2025-01-08 03:00:00,2650.45,2650.87,2648.08,2648.75,5045,23.0
2025-01-08 03:15:00,2648.76,2649.08,2647.49,2648.23,3458,23.0
2025-01-08 03:30:00,2648.21,2649.76,2647.06,2648.8,3576,23.0
2025-01-08 03:45:00,2648.82,2648.98,2647.63,2648.82,2860,23.0
2025-01-08 04:00:00,2648.87,2648.87,2646.97,2648.49,2535,23.0
2025-01-08 04:15:00,2648.46,2648.54,2647.1,2647.39,1612,23.0
2025-01-08 04:30:00,2647.38,2648.7,2645.84,2648.46,3438,23.0
2025-01-08 04:45:00,2648.45,2650.4,2648.32,2648.85,3093,23.0
2025-01-08 05:00:00,2648.84,2648.84,2646.73,2647.15,3039,23.0
2025-01-08 05:15:00,2647.14,2647.93,2646.61,2646.8,3015,23.0
2025-01-08 05:30:00,2646.79,2647.76,2645.49,2646.55,1847,23.0
2025-01-08 05:45:00,2646.43,2647.39,2646.43,2646.84,1655,23.0
2025-01-08 06:00:00,2646.82,2648.68,2646.55,2648.05,2016,23.0
2025-01-08 06:15:00,2647.92,2648.13,2646.76,2647.44,1286,23.0
2025-01-08 06:30:00,2647.43,2647.67,2645.83,2645.92,1310,23.0
2025-01-08 06:45:00,2645.93,2647.0,2645.1,2646.9,1808,23.0
2025-01-08 07:00:00,2646.92,2647.45,2646.57,2647.15,1010,23.0
2025-01-08 07:15:00,2647.14,2649.96,2646.88,2649.1,2189,23.0
2025-01-08 07:30:00,2649.09,2650.42,2648.93,2649.5,3850,23.0
2025-01-08 07:45:00,2649.48,2650.72,2649.22,2649.99,3855,23.0
2025-01-08 08:00:00,2650.01,2651.42,2648.83,2651.03,3558,23.0
2025-01-08 08:15:00,2651.04,2652.65,2650.56,2651.63,3145,23.0
2025-01-08 08:30:00,2651.63,2652.47,2650.51,2651.99,4563,23.0
2025-01-08 08:45:00,2652.0,2653.09,2651.41,2652.15,3292,23.0
2025-01-08 09:00:00,2652.17,2654.44,2651.73,2653.7,4115,23.0
2025-01-08 09:15:00,2653.68,2654.21,2652.25,2652.89,2992,23.0
2025-01-08 09:30:00,2652.91,2653.59,2651.66,2651.74,3076,23.0
2025-01-08 09:45:00,2651.75,2652.77,2651.57,2652.65,4260,23.0
2025-01-08 10:00:00,2652.65,2652.99,2650.42,2651.18,5246,23.0
2025-01-08 10:15:00,2651.19,2652.61,2649.47,2650.43,4538,23.0
2025-01-08 10:30:00,2650.43,2653.82,2649.94,2652.82,5758,23.0
2025-01-08 10:45:00,2652.81,2652.98,2650.77,2651.97,4145,23.0
2025-01-08 11:00:00,2651.98,2654.97,2651.74,2653.58,6396,23.0
2025-01-08 11:15:00,2653.58,2654.25,2652.65,2653.64,3990,23.0
2025-01-08 11:30:00,2653.62,2654.84,2653.22,2654.09,3896,23.0
