datetime,open,high,low,close,tick_vol,spread
2025-01-07 12:40:00,2644.48,2644.75,2642.77,2643.46,2253,23.0
2025-01-07 12:50:00,2643.46,2644.05,2642.89,2643.85,1742,23.0
2025-01-07 13:00:00,2643.87,2646.95,2643.72,2646.45,3390,23.0
2025-01-07 13:10:00,2646.46,2646.67,2642.79,2643.42,2992,23.0
2025-01-07 13:20:00,2643.42,2645.53,2641.9,2645.51,2955,23.0
2025-01-07 13:30:00,2645.52,2645.63,2644.61,2644.89,2060,23.0
2025-01-07 13:40:00,2644.88,2647.99,2644.86,2647.08,2503,23.0
2025-01-07 13:50:00,2647.07,2648.67,2646.37,2648.31,2691,23.0
2025-01-07 14:00:00,2648.39,2651.41,2647.43,2649.66,4129,23.0
2025-01-07 14:10:00,2649.66,2650.58,2647.34,2649.09,3773,23.0
2025-01-07 14:20:00,2649.08,2649.19,2647.81,2648.13,2146,23.0
2025-01-07 14:30:00,2648.12,2649.1,2647.56,2648.28,1933,23.0
2025-01-07 14:40:00,2648.41,2651.65,2648.31,2650.63,3543,23.0
2025-01-07 14:50:00,2650.6,2652.72,2650.6,2651.68,4013,23.0
2025-01-07 15:00:00,2651.65,2654.51,2649.91,2653.26,6642,23.0
2025-01-07 15:10:00,2653.26,2657.96,2653.25,2657.95,6863,23.0
2025-01-07 15:20:00,2657.95,2661.05,2657.53,2660.25,9615,23.0
2025-01-07 15:30:00,2660.26,2662.03,2657.1,2659.67,9457,23.0
2025-01-07 15:40:00,2659.68,2662.83,2659.63,2660.46,8150,23.0
2025-01-07 15:50:00,2660.45,2664.27,2659.77,2662.28,7612,23.0
2025-01-07 16:00:00,2662.29,2662.95,2658.88,2660.19,9648,23.0
2025-01-07 16:10:00,2660.21,2661.76,2655.72,2657.68,6883,23.0
2025-01-07 16:20:00,2657.7,2660.72,2657.02,2660.31,6132,23.0
2025-01-07 16:30:00,2660.3,2662.91,2660.1,2661.93,7252,23.0
2025-01-07 16:40:00,2661.94,2662.98,2659.13,2659.98,6049,23.0
2025-01-07 16:50:00,2659.94,2661.01,2657.46,2658.61,7179,23.0
2025-01-07 17:00:00,2658.58,2658.58,2641.93,2644.55,15367,23.0
2025-01-07 17:10:00,2644.54,2651.28,2643.77,2651.17,11842,23.0
2025-01-07 17:20:00,2651.16,2653.57,2650.15,2651.29,10236,23.0
2025-01-07 17:30:00,2651.27,2652.14,2644.69,2645.76,9956,23.0
2025-01-07 17:40:00,2645.77,2649.49,2645.57,2649.26,9580,23.0
2025-01-07 17:50:00,2649.29,2651.08,2647.61,2647.62,8660,23.0
2025-01-07 18:00:00,2647.6,2649.75,2646.41,2649.06,7369,23.0
2025-01-07 18:10:00,2649.05,2653.67,2648.07,2653.31,7362,23.0
2025-01-07 18:20:00,2653.33,2653.76,2650.51,2650.7,6989,23.0
2025-01-07 18:30:00,2650.65,2653.85,2648.8,2653.78,9962,23.0
2025-01-07 18:40:00,2653.77,2655.62,2652.66,2654.15,6923,23.0
2025-01-07 18:50:00,2654.14,2654.16,2651.15,2651.71,7745,23.0
2025-01-07 19:00:00,2651.69,2653.86,2651.68,2652.67,4326,23.0
2025-01-07 19:10:00,2652.67,2655.52,2651.96,2654.68,4269,23.0
2025-01-07 19:20:00,2654.66,2654.99,2651.75,2654.75,5200,23.0
2025-01-07 19:30:00,2654.74,2656.05,2651.96,2652.01,4825,23.0
2025-01-07 19:40:00,2652.01,2652.47,2650.09,2650.85,5717,23.0
2025-01-07 19:50:00,2650.85,2652.77,2650.56,2652.4,6675,23.0
2025-01-07 20:00:00,2652.41,2652.58,2650.28,2650.56,4629,23.0
2025-01-07 20:10:00,2650.56,2652.22,2649.52,2652.06,4245,23.0
2025-01-07 20:20:00,2652.06,2652.38,2649.89,2650.83,4604,23.0
2025-01-07 20:30:00,2650.77,2650.89,2647.97,2649.04,4771,23.0
2025-01-07 20:40:00,2649.01,2649.35,2647.36,2648.3,6769,23.0
2025-01-07 20:50:00,2648.35,2649.31,2647.18,2649.09,4197,23.0
2025-01-07 21:00:00,2649.1,2649.76,2648.44,2649.06,4237,23.0
2025-01-07 21:10:00,2649.05,2649.83,2647.93,2648.21,3332,23.0
2025-01-07 21:20:00,2648.2,2648.5,2646.81,2647.56,2973,23.0
2025-01-07 21:30:00,2647.56,2648.61,2647.28,2648.31,2756,23.0
2025-01-07 21:40:00,2648.3,2650.37,2647.34,2649.58,3839,23.0
2025-01-07 21:50:00,2649.56,2650.26,2648.84,2649.33,3640,23.0
2025-01-07 22:00:00,2649.32,2649.86,2648.19,2648.3,2393,23.0
2025-01-07 22:10:00,2648.31,2649.37,2647.49,2648.59,2939,23.0
2025-01-07 22:20:00,2648.59,2648.75,2647.48,2648.25,2358,23.0
2025-01-07 22:30:00,2648.3,2648.42,2647.18,2647.92,2980,23.0
2025-01-07 22:40:00,2647.91,2649.03,2647.46,2648.66,3289,23.0
2025-01-07 22:50:00,2648.66,2651.46,2648.66,2650.47,3378,23.0
2025-01-07 23:00:00,2650.4,2650.48,2649.78,2650.03,688,24.0
2025-01-07 23:10:00,2650.02,2650.08,2649.52,2649.78,491,24.0
2025-01-07 23:20:00,2649.79,2650.13,2649.69,2649.82,599,24.0
2025-01-07 23:30:00,2649.84,2650.2,2649.43,2649.54,329,24.0
2025-01-07 23:40:00,2649.55,2649.88,2649.33,2649.72,525,24.0
2025-01-07 23:50:00,2649.64,2649.69,2647.59,2648.21,369,24.0
2025-01-08 01:00:00,2648.32,2649.08,2648.32,2648.76,348,32.0
2025-01-08 01:10:00,2648.77,2649.89,2648.18,2648.72,781,23.0
2025-01-08 01:20:00,2648.73,2648.9,2648.29,2648.68,378,23.0
2025-01-08 01:30:00,2648.67,2649.71,2648.6,2649.52,479,23.0
2025-01-08 01:40:00,2649.51,2649.67,2648.71,2649.6,442,23.0
2025-01-08 01:50:00,2649.73,2650.22,2648.98,2649.79,999,23.0
2025-01-08 02:00:00,2649.8,2649.97,2648.64,2649.69,975,23.0
2025-01-08 02:10:00,2649.7,2650.59,2649.17,2650.46,700,23.0
2025-01-08 02:20:00,2650.49,2651.32,2650.01,2650.84,741,23.0
2025-01-08 02:30:00,2650.84,2651.55,2650.36,2650.78,978,23.0
2025-01-08 02:40:00,2650.79,2651.55,2650.44,2651.33,1203,23.0
2025-01-08 02:50:00,2651.32,2651.32,2649.9,2650.44,1386,23.0
2025-01-08 03:00:00,2650.45,2650.87,2648.08,2649.17,3535,23.0
2025-01-08 03:10:00,2649.14,2649.72,2647.74,2647.97,3030,23.0
2025-01-08 03:20:00,2647.92,2649.08,2647.49,2648.23,1938,23.0
2025-01-08 03:30:00,2648.21,2648.76,2647.5,2648.21,1904,23.0
2025-01-08 03:40:00,2648.22,2649.76,2647.06,2647.73,2683,23.0
2025-01-08 03:50:00,2647.74,2648.98,2647.63,2648.82,1849,23.0
2025-01-08 04:00:00,2648.87,2648.87,2646.97,2647.7,1528,23.0
2025-01-08 04:10:00,2647.83,2648.6,2647.29,2647.86,1615,23.0
2025-01-08 04:20:00,2647.98,2648.16,2647.1,2647.39,1004,23.0
2025-01-08 04:30:00,2647.38,2647.89,2645.84,2646.77,2591,23.0
2025-01-08 04:40:00,2646.77,2649.43,2646.63,2649.08,1817,23.0
