datetime,open,high,low,close,tick_vol,spread
2025-01-07 12:00:00,2644.48,2644.75,2642.77,2643.85,3995,23.0
2025-01-07 13:00:00,2643.87,2648.67,2641.9,2648.31,16591,23.0
2025-01-07 14:00:00,2648.39,2652.72,2647.34,2651.68,19537,23.0
2025-01-07 15:00:00,2651.65,2664.27,2649.91,2662.28,48339,23.0
2025-01-07 16:00:00,2662.29,2662.98,2655.72,2658.61,43143,23.0
2025-01-07 17:00:00,2658.58,2658.58,2641.93,2647.62,65641,23.0
2025-01-07 18:00:00,2647.6,2655.62,2646.41,2651.71,46350,23.0
2025-01-07 19:00:00,2651.69,2656.05,2650.09,2652.4,31012,23.0
2025-01-07 20:00:00,2652.41,2652.58,2647.18,2649.09,29215,23.0
2025-01-07 21:00:00,2649.1,2650.37,2646.81,2649.33,20777,23.0
2025-01-07 22:00:00,2649.32,2651.46,2647.18,2650.47,17337,23.0
2025-01-07 23:00:00,2650.4,2650.48,2647.59,2648.21,3001,24.0
2025-01-08 01:00:00,2648.32,2650.22,2648.18,2649.79,3427,23.8
2025-01-08 02:00:00,2649.8,2651.55,2648.64,2650.44,5983,23.0
2025-01-08 03:00:00,2650.45,2650.87,2647.06,2648.82,14939,23.0
2025-01-08 04:00:00,2648.87,2650.4,2645.84,2648.85,10678,23.0
2025-01-08 05:00:00,2648.84,2648.84,2645.49,2646.84,9556,23.0
2025-01-08 06:00:00,2646.82,2648.68,2645.1,2646.9,6420,23.0
2025-01-08 07:00:00,2646.92,2650.72,2646.57,2649.99,10904,23.0
2025-01-08 08:00:00,2650.01,2653.09,2648.83,2652.15,14558,23.0
2025-01-08 09:00:00,2652.17,2654.44,2651.57,2652.65,14443,23.0
2025-01-08 10:00:00,2652.65,2653.82,2649.47,2651.97,19687,23.0
2025-01-08 11:00:00,2651.98,2654.97,2651.74,2653.44,17354,23.0
2025-01-08 12:00:00,2653.43,2655.15,2652.64,2653.12,14066,23.0
2025-01-08 13:00:00,2653.12,2653.14,2647.57,2650.8,23592,23.0
2025-01-08 14:00:00,2650.84,2652.5,2645.74,2652.05,24010,23.0
2025-01-08 15:00:00,2652.03,2660.26,2651.1,2660.13,45242,23.0
2025-01-08 16:00:00,2660.11,2667.52,2659.98,2661.31,54880,23.0
2025-01-08 17:00:00,2661.33,2667.81,2659.21,2665.83,45989,23.0
2025-01-08 18:00:00,2665.84,2670.0,2662.57,2669.5,31674,23.0
2025-01-08 19:00:00,2669.49,2669.73,2649.36,2655.44,32322,23.0
2025-01-08 20:00:00,2655.44,2659.13,2651.49,2653.21,28207,23.0
2025-01-08 21:00:00,2653.12,2660.58,2652.1,2658.27,21855,23.0
2025-01-08 22:00:00,2658.31,2664.03,2658.19,2663.3,19566,23.0
2025-01-08 23:00:00,2663.34,2663.97,2661.14,2661.55,6638,24.0
2025-01-09 01:00:00,2662.68,2663.26,2661.95,2662.61,1889,23.0
2025-01-09 02:00:00,2662.62,2662.74,2659.37,2659.98,5803,23.0
2025-01-09 03:00:00,2659.97,2661.38,2657.15,2658.5,16187,23.0
2025-01-09 04:00:00,2658.45,2660.18,2656.21,2658.78,12416,23.0
2025-01-09 05:00:00,2658.76,2662.21,2658.49,2659.33,11266,23.0
2025-01-09 06:00:00,2659.39,2659.79,2655.35,2658.95,8715,23.0
2025-01-09 07:00:00,2658.94,2660.93,2657.56,2658.25,9958,23.0
2025-01-09 08:00:00,2658.24,2666.91,2658.24,2666.63,12052,23.0
2025-01-09 09:00:00,2666.59,2666.68,2662.24,2662.37,17788,23.0
2025-01-09 10:00:00,2662.36,2666.92,2660.36,2664.41,28687,23.0
2025-01-09 11:00:00,2664.4,2666.5,2662.06,2665.04,20048,23.0
